character n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	2000__DEU	2000__NDL
('e', 'k')	1368	2175	1377	459	2685	326	1646	4558	2199	622	194	1696	25941	4486
('h', 'u')	990	2547	314	96	2025	105	1093	686	440	211	131	682	11421	1418
('a', 'p')	587	1100	227	77	1480	70	519	954	842	157	70	385	13746	1422
('j', 'i')	2168	307	71	5	230	11	78	71	94	47	38	77	618	78
('u', 'e')	1116	631	51	14	291	204	898	76	34	92	57	92	22449	325
('o', 'l')	4608	4978	1182	588	5711	377	3438	2995	1777	501	403	890	51706	3442
('o', 'ö')	1772	1	2	0	1	0	3	1	0	0	0	0	8	14
('ö', 'r')	2122	4182	138	99	6773	247	2597	609	502	1124	476	424	9626	12
('t', 'a')	1580	1818	475	146	9006	405	2480	1443	1056	543	754	725	57193	4780
('n', 'ü')	118	326	0	0	343	23	301	0	0	19	17	691	3856	0
('ü', 'd')	283	1029	2	0	1078	13	89	5	0	129	71	53	496	0
('e', 'p')	637	1303	323	100	1275	66	250	720	460	88	41	298	8000	1551
('o', 'm')	1359	1123	671	759	710	109	1182	4731	1122	278	94	183	51595	4584
('t', 'ä')	253	196	16	0	689	16	537	0	6	41	59	1814	10765	1
('ä', 'l')	450	186	2	0	226	23	317	0	0	14	153	151	5717	0
('m', 'ö')	346	643	60	33	1265	106	236	120	108	112	160	384	6127	0
('ö', 's')	778	370	61	19	691	20	169	107	161	41	61	316	3752	2
('g', 'l')	1036	1169	83	30	1739	126	554	375	137	155	161	428	17746	206
('l', 'ö')	338	802	83	11	685	37	366	122	183	101	101	116	2867	3
('ö', 'ö')	7	2271	12	0	17	1	35	0	173	899	39	1	0	0
('ö', 'v')	12	851	3	0	3	5	2	0	0	373	1	0	38	0
('v', 's')	4	159	0	0	0	0	3	2	0	73	0	0	203	25
('t', 'w')	1100	1108	175	79	1183	74	629	559	363	213	110	653	21760	1437
('a', 'g')	2402	2792	605	217	3877	248	1753	2391	1068	395	100	1186	40037	2839
('t', 's')	747	1499	271	87	2897	136	843	1265	668	1087	380	1207	55273	3131
('o', 'k')	800	3300	838	539	3646	264	268	2734	1114	721	328	252	5784	1677
('i', 'l')	1572	2275	403	275	3336	238	1523	2484	699	542	301	1292	59897	2731
('s', 'ü')	1711	1973	0	0	3099	91	672	0	0	325	243	744	727	0
('ü', 'ö')	2359	0	0	0	0	0	2713	0	0	0	0	0	0	0
('ö', 't')	788	749	66	19	1138	18	354	110	232	128	170	203	1177	2
('r', 'b')	591	1110	149	77	1298	62	525	583	322	269	139	230	25238	1116
('b', 'a')	1187	2018	268	123	2219	136	1179	1232	580	248	169	363	23107	1813
('b', 'u')	1609	1372	209	33	1209	50	918	595	303	219	127	349	13574	990
('f', 'ü')	351	367	0	0	720	19	654	0	0	10	52	274	45941	0
('r', 'c')	140	422	9	0	1504	12	62	43	38	42	132	20	14575	411
('j', 'a')	298	1560	518	189	1524	159	870	1034	617	114	53	978	16601	1653
('a', ' ')	1696	4300	583	223	2041	533	1429	2341	1205	663	199	2826	28106	2866
('b', 'l')	1294	1675	281	128	2136	125	1375	1025	497	305	267	658	13768	1313
('i', 'f')	874	268	125	42	346	39	435	371	71	204	119	351	9936	294
('f', 'f')	1307	1594	202	43	998	75	1322	113	175	385	344	466	17334	502
('f', 't')	1108	1105	142	62	1685	112	748	381	231	292	260	718	44675	1723
('j', 'o')	920	1201	378	281	2602	30	781	1840	508	161	178	455	2423	797
('g', 'a')	1519	2751	454	171	3807	237	1656	1604	860	303	240	999	26513	1971
('n', 'z')	311	1391	142	50	2357	139	753	497	235	113	145	563	26970	405
('z', ' ')	253	1577	35	20	1922	74	492	62	10	113	170	433	20118	149
('a', 'v')	71	1053	154	41	268	48	257	462	130	210	11	80	4214	723
('v', 'e')	755	6195	2817	1202	4485	389	2496	9295	4588	1700	387	765	82561	10957
('h', 'ü')	375	674	10	0	1664	31	468	2	2	62	117	751	1880	0
('ü', 'l')	452	1045	13	0	2067	84	244	0	0	107	67	348	2091	2
('e', 'v')	49	1317	618	216	104	22	116	2242	1031	484	16	18	3815	3603
('o', 'o')	212	5266	3511	1551	412	133	152	4870	2616	1432	79	185	6380	11381
('p', 's')	320	476	58	25	519	17	319	202	115	55	31	94	5967	445
('?', ' ')	206	1223	191	65	1555	97	272	561	342	54	22	252	241	52
(' ', '«')	6	4717	0	0	8390	0	1400	0	0	0	0	0	0	404
(' ', 'v')	2103	8478	4327	1628	13043	650	8057	12778	7015	2350	1055	2950	134096	23457
('v', 'ö')	70	1101	133	4	2553	19	169	53	69	416	161	9	592	0
('s', 'm')	316	884	113	46	843	62	140	355	130	49	49	350	7614	465
('ö', 'f')	156	184	4	3	210	16	59	0	17	40	58	43	3593	0
('r', 'r')	825	4959	162	177	3960	216	2462	619	236	689	319	1528	10621	649
('u', 't')	3394	4249	667	226	5873	379	3523	1786	658	854	447	1118	46400	949
('h', 's')	167	335	14	3	892	19	162	8	5	48	59	135	12351	18
('s', 'b')	51	242	19	2	284	8	96	139	59	40	26	98	7361	326
('r', 'g')	1073	1572	317	120	2210	117	1004	860	499	324	215	322	22895	2181
('t', 'l')	265	432	30	7	943	32	276	86	65	100	64	96	19814	141
('e', 'e')	1170	21793	4100	1185	3389	1596	618	7279	6369	3224	373	3539	5865	19552
('w', 'ö')	811	467	66	22	199	92	302	34	144	75	11	95	839	0
('ä', 'u')	502	101	0	0	2045	76	507	0	0	2	152	415	5913	0
('l', 'p')	283	277	69	45	357	45	229	191	111	66	44	153	1487	248
('n', 't')	2351	2884	1210	292	4343	245	1888	2417	1866	904	317	921	134981	6364
('e', 'i')	2127	5340	1050	1195	26956	2159	10061	401	1607	836	2235	5181	308538	5088
('l', 'm')	125	546	43	40	495	39	228	232	70	38	31	140	3323	408
('s', 'n')	261	706	101	59	576	40	51	351	126	198	1	129	1696	331
('n', 'u')	766	1962	94	38	3581	47	1218	466	215	335	272	167	29141	842
('l', 'u')	1857	1048	309	148	1488	115	866	1160	475	239	162	819	21992	1081
('u', 'f')	237	211	101	47	314	103	152	116	199	23	44	214	56401	64
('u', 'ß')	68	422	0	0	365	19	324	0	0	2	8	332	3543	0
('e', 'u')	554	1393	2590	1123	864	155	1406	7023	3808	144	103	396	43515	2842
('u', 'r')	861	1557	1847	915	3118	83	877	6444	3453	258	313	186	59241	3468
('b', 'ö')	56	341	16	14	525	27	270	59	31	58	56	188	3203	0
('ö', 'g')	648	577	47	4	548	55	338	5	34	69	39	105	5679	0
('p', ' ')	2731	5942	1442	517	7762	306	3027	4494	2502	646	419	1291	7834	4083
(' ', "'")	467	5137	5811	2864	13168	23	4034	1046	156	395	296	0	1029	1951
("'", 'n')	288	3396	1319	927	4824	6	973	95	74	117	342	0	10	128
('u', 'u')	73	2141	1110	145	143	15	88	1753	1245	598	89	3	208	1022
('k', 'n')	405	653	149	64	723	39	287	394	136	43	58	90	2290	185
('a', 'f')	1276	1356	123	48	1977	122	1256	266	161	246	223	895	17820	1587
('ü', 'ü')	7	1011	15	0	18	0	1085	1	0	530	102	0	0	0
('d', ' ')	4692	7743	2947	1421	19117	382	3727	7572	4174	1512	843	1937	111223	12076
('r', 'ü')	1309	1442	4	0	2927	109	1313	1	0	123	129	1020	13981	2
('m', 'l')	75	164	4	1	535	16	89	36	15	38	21	36	2749	44
(' ', 'ü')	1024	1445	4	0	2280	110	1447	0	1	215	206	1044	20615	2
('r', 'v')	45	457	126	32	302	6	44	358	216	103	33	32	7663	962
('v', 'a')	710	1227	1672	572	1253	73	3318	4805	2770	254	56	785	5581	12037
('a', 'a')	325	5848	1143	198	318	134	710	12122	3018	1673	91	71	3140	16929
('g', 't')	1186	1982	168	98	2815	246	456	672	252	254	84	555	24013	772
('a', 'c')	1612	3486	409	151	4454	225	1722	1261	1007	548	374	765	43098	2455
(' ', 'p')	2286	3895	882	392	5312	367	2137	3183	1668	991	527	1256	71561	6382
