character n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	2000__DEU	2000__NDL
('ó', 'p')	0	0	29	0	0	0	0	1	1	0	0	0	0	0
('ó', 'c')	0	0	8	0	0	0	0	0	0	0	0	0	0	1
('d', 'ò')	0	0	7	0	0	0	0	0	0	0	0	0	0	0
('ò', 'r')	0	0	21	0	0	0	0	9	0	0	0	0	0	1
('g', 'é')	0	0	3	0	0	0	24	3	1	0	0	0	5	37
('ó', 'l')	0	0	24	0	0	0	0	3	1	0	0	0	0	0
('ô', 'm')	0	0	7	0	0	0	4	0	0	0	0	0	1	2
('t', 'à')	0	0	8	0	0	0	0	1	0	0	0	0	0	0
('ò', 'w')	0	0	19	0	0	0	0	0	0	0	0	0	0	0
('i', '̄')	0	0	72	0	0	0	0	0	0	0	0	0	0	0
('̄', 'e')	0	0	96	0	0	0	0	0	0	0	0	0	0	0
('̄', 'l')	0	0	8	0	0	0	0	0	0	0	0	0	0	0
('̄', 'n')	0	0	38	0	0	0	0	0	0	0	0	0	0	0
('̄', 'g')	0	0	7	0	0	0	0	0	0	0	0	0	0	0
('v', 'ū')	0	0	6	0	0	0	0	0	0	0	0	0	0	0
('o', '̄')	0	0	23	0	0	0	0	0	0	0	0	0	0	0
('s', 'ā')	0	0	8	0	0	0	0	0	0	0	0	0	0	0
('.', 'p')	0	0	1	0	0	0	0	5	2	0	0	0	98	9
('ó', 'v')	0	0	8	0	0	0	0	0	0	0	0	0	0	0
('j', 'c')	0	0	1	0	0	0	0	0	0	0	0	0	28	17
('e', 'é')	0	0	2	0	0	0	4	0	0	0	0	0	0	1
('à', 'r')	0	0	10	0	0	0	0	0	0	0	0	0	0	0
('à', 'z')	0	0	11	0	0	0	0	0	0	0	0	0	0	0
('à', 'k')	0	0	9	0	0	0	0	0	0	0	0	0	0	0
('ú', 'l')	0	0	15	0	0	0	0	0	0	0	0	0	0	2
('à', 'g')	0	0	20	0	0	0	0	0	0	0	0	0	0	0
('b', 'w')	0	0	7	0	0	0	0	2	0	0	1	1	950	6
('r', 'à')	0	0	25	0	0	0	0	0	0	0	0	0	0	1
('z', 'à')	0	0	6	0	0	0	0	0	1	0	0	0	0	0
('z', 'ò')	0	0	11	0	0	0	0	1	0	0	0	0	0	0
('f', 'ó')	0	0	1	0	0	0	0	0	0	0	0	0	6	0
('ê', 'u')	0	0	10	0	0	0	0	0	0	0	0	0	0	0
('ö', 'z')	0	0	4	0	0	0	0	27	1	0	4	0	21	0
('á', 'r')	0	0	2	0	0	0	0	5	1	0	0	0	0	0
('a', '1')	0	0	1	0	0	0	0	0	1	0	0	0	60	6
(',', '0')	0	0	1	0	0	0	0	5	13	0	0	2	268	10
('1', ',')	0	0	1	0	0	0	1	0	0	1	0	2	2270	24
('c', 'v')	0	0	1	0	0	0	0	2	0	0	0	0	29	47
('t', 'ò')	0	0	1	0	0	0	0	3	2	0	0	0	0	0
('ó', 'o')	0	0	9	0	0	0	0	0	0	0	0	0	0	0
('p', 'ò')	0	0	3	0	0	0	0	3	1	0	0	0	0	0
('é', 'i')	0	0	1	0	0	0	886	0	0	0	0	0	0	0
('é', 'k')	0	0	1	0	0	0	1811	0	3	0	0	0	0	0
('k', 'é')	0	0	1	0	0	0	1	1	0	0	0	0	9	0
('é', '-')	0	0	1	0	0	0	0	2	8	0	0	0	8	7
('c', 's')	0	0	1	0	0	0	1	1	0	2	0	0	2907	39
('ï', ' ')	0	0	1	0	0	0	0	1	0	0	0	0	16	3
('ö', '-')	0	0	5	0	0	0	0	0	0	0	0	0	10	0
('é', 'v')	0	0	1	0	0	0	1	1	1	0	0	0	3	3
(' ', 'á')	0	0	1	0	0	0	1	6	2	0	0	0	6	2
('ó', 'f')	0	0	1	0	0	0	0	5	1	0	0	0	0	3
('z', '1')	0	0	1	0	0	0	0	0	0	0	0	0	13	0
('1', 'e')	0	0	1	0	0	0	0	0	0	0	0	0	10	5
('u', '1')	0	0	1	0	0	0	0	0	0	0	0	0	6	12
('1', 't')	0	0	1	0	0	0	0	0	0	0	0	0	19	0
('i', 'è')	0	0	1	0	0	0	12	5	3	0	2	0	1	34
('á', 'á')	0	0	1	0	0	0	0	4	1	0	0	0	0	0
("'", '5')	0	0	1	0	0	0	0	2	0	0	0	0	0	5
('e', 'ï')	0	0	3	0	0	0	1	5	1	0	0	0	0	38
('é', 'm')	0	0	1	0	0	0	29	1	0	0	0	0	12	7
('a', 'ö')	0	0	2	0	0	0	8	0	0	0	0	0	0	0
('â', 'd')	0	0	0	0	0	0	147	0	0	0	0	0	0	0
('î', 'm')	0	0	0	0	0	0	43	0	0	0	0	0	0	0
('a', 'ğ')	0	0	0	0	0	0	604	0	0	0	0	0	0	0
('ğ', 'ğ')	0	0	0	0	0	0	722	0	0	0	0	0	0	0
('ğ', 'e')	0	0	0	0	0	0	414	0	0	0	0	0	0	0
('m', 'ì')	0	0	0	0	0	0	0	88	0	0	0	0	0	0
('ä', 'ğ')	0	0	0	0	0	0	89	0	0	0	0	0	0	0
('û', 'o')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
(' ', '−')	0	0	0	0	0	0	49	0	0	0	0	0	0	0
('−', ' ')	0	0	0	0	0	0	51	0	0	0	0	0	0	0
('a', 'ġ')	0	0	0	0	0	0	588	0	0	0	0	0	0	0
('ġ', 'ġ')	0	0	0	0	0	0	701	0	0	0	0	0	0	0
('ġ', ' ')	0	0	0	0	0	0	322	0	0	0	0	0	0	0
('â', "'")	0	0	0	0	0	0	45	0	0	0	0	0	0	0
('ğ', ' ')	0	0	0	0	0	0	352	0	0	0	0	0	0	0
('o', 'ġ')	0	0	0	0	0	0	69	0	0	0	0	0	0	0
('î', 'ä')	0	0	0	0	0	0	19	0	0	0	0	0	0	0
('ġ', 'e')	0	0	0	0	0	0	483	0	0	0	0	0	0	0
('u', 'é')	0	0	0	0	0	0	157	1	0	0	0	0	7	4
('c', 'd')	0	0	0	0	0	0	0	13	8	17	1	0	2144	47
('f', 'é')	0	0	0	0	0	0	0	16	6	3	6	2	50	9
('é', 'c')	0	0	0	0	0	0	20	3	8	0	0	0	5	7
('s', '…')	0	0	0	0	0	0	2	39	4	0	0	0	0	0
('n', '…')	0	0	0	0	0	0	6	140	12	0	0	0	0	0
('t', '…')	0	0	0	0	0	0	6	60	6	3	1	0	0	0
('…', '…')	0	0	0	0	0	0	1	57	11	0	0	0	0	0
('9', '6')	0	0	0	0	0	0	6	20	5	0	2	1	490	254
('6', '5')	0	0	0	0	0	0	5	4	2	1	2	0	443	50
('.', 'q')	0	0	0	0	0	0	0	0	7	0	0	0	15	1
('q', ' ')	0	0	0	0	0	0	1	11	10	48	1	1	1020	8
('r', 'x')	0	0	0	0	0	0	3	0	0	2	2	0	41	7
('7', '/')	0	0	0	0	0	0	2	1	0	2	0	0	71	6
('/', '3')	0	0	0	0	0	0	1	0	0	3	0	1	148	2
('0', '8')	0	0	0	0	0	0	2	9	1	10	0	0	245	25
('0', '4')	0	0	0	0	0	0	2	6	1	2	2	2	332	120
('9', '9')	0	0	0	0	0	0	4	13	5	20	5	2	5307	362
('9', '7')	0	0	0	0	0	0	2	13	5	9	2	0	933	221
('0', '/')	0	0	0	0	0	0	4	0	0	4	0	0	271	2
('/', 'd')	0	0	0	0	0	0	1	3	0	4	1	4	232	4
('9', '8')	0	0	0	0	0	0	7	17	3	8	9	0	1511	217
(',', '6')	0	0	0	0	0	0	0	1	0	2	0	0	903	16
('1', '.')	0	0	0	0	0	0	8	3	1	13	3	0	1931	84
('2', '.')	0	0	0	0	0	0	8	3	4	23	2	0	1283	45
('u', '/')	0	0	0	0	0	0	0	0	0	9	0	0	133	0
('/', 'c')	0	0	0	0	0	0	0	0	0	3	0	0	175	0
('0', '9')	0	0	0	0	0	0	3	11	4	1	2	0	142	24
('´', 'r')	0	0	0	0	0	0	7	0	0	6	0	0	0	0
('0', '1')	0	0	0	0	0	0	6	37	6	20	6	5	1998	66
('7', '.')	0	0	0	0	0	0	3	0	1	5	1	0	512	20
('4', '.')	0	0	0	0	0	0	7	2	2	6	4	4	1002	19
('/', '/')	0	0	0	0	0	0	0	22	0	1	1	7	526	17
('e', '/')	0	0	0	0	0	0	83	8	0	3	1	1	551	5
('/', 'a')	0	0	0	0	0	0	4	6	0	19	0	0	118	4
('c', '-')	0	0	0	0	0	0	0	5	0	4	0	7	3219	22
('a', '5')	0	0	0	0	0	0	0	0	0	1	0	0	12	3
('h', 'q')	0	0	0	0	0	0	0	0	0	1	0	0	38	0
('c', 'w')	0	0	0	0	0	0	0	0	0	1	0	0	122	1
('u', '̈')	0	0	0	0	0	0	0	0	0	721	400	0	0	0
('̈', 'n')	0	0	0	0	0	0	0	0	0	174	73	0	0	0
('̈', 's')	0	0	0	0	0	0	0	0	0	179	26	0	0	0
('̈', 'l')	0	0	0	0	0	0	0	0	0	83	25	0	0	0
('̈', 'u')	0	0	0	0	0	0	0	0	0	61	62	0	0	0
('̈', 'd')	0	0	0	0	0	0	0	0	0	88	11	0	0	0
('̈', 'm')	0	0	0	0	0	0	0	0	0	71	62	0	0	0
('̈', 't')	0	0	0	0	0	0	0	0	0	77	63	0	0	0
('̈', 'c')	0	0	0	0	0	0	0	0	0	11	28	0	0	0
('0', '-')	0	0	0	0	0	0	4	13	2	1	0	1	2140	73
('0', ',')	0	0	0	0	0	0	0	2	9	2	1	5	1252	22
(',', '3')	0	0	0	0	0	0	1	1	0	1	0	1	976	19
('4', '/')	0	0	0	0	0	0	3	2	0	1	0	0	103	2
('/', '1')	0	0	0	0	0	0	4	1	0	1	0	0	214	11
(' ', '@')	0	0	0	0	0	0	0	13	0	2	0	0	459	0
('@', ' ')	0	0	0	0	0	0	0	13	0	2	0	0	466	0
('1', '/')	0	0	0	0	0	0	1	0	0	1	0	0	147	28
('/', '2')	0	0	0	0	0	0	3	5	0	1	1	0	593	24
('h', '/')	0	0	0	0	0	0	0	1	0	8	0	0	40	0
('/', 'n')	0	0	0	0	0	0	19	5	0	18	0	0	182	5
('1', '-')	0	0	0	0	0	0	38	5	1	1	2	0	558	56
(',', '9')	0	0	0	0	0	0	0	0	0	1	0	0	1053	9
('k', '…')	0	0	0	0	0	0	1	28	2	2	0	0	0	0
('3', '2')	0	0	0	0	0	0	5	4	2	2	1	1	841	38
('5', '8')	0	0	0	0	0	0	2	3	2	1	1	0	236	46
('.', '0')	0	0	0	0	0	0	2	21	4	22	8	3	4047	170
('0', '3')	0	0	0	0	0	0	5	5	2	1	4	1	425	101
('3', '.')	0	0	0	0	0	0	5	4	0	9	1	0	1241	30
('.', '2')	0	0	0	0	0	0	1	2	0	17	0	2	405	31
('´', 'e')	0	0	0	0	0	0	10	1	0	1	3	0	0	0
('0', '.')	0	0	0	0	0	0	1	10	1	6	7	0	2157	93
('v', 'n')	0	0	0	0	0	0	0	2	0	3	0	0	15	13
('…', '.')	0	0	0	0	0	0	0	51	1	1	0	0	0	0
('w', 'c')	0	0	0	0	0	0	0	21	3	1	0	0	109	11
('6', '7')	0	0	0	0	0	0	3	4	0	2	0	0	207	41
('m', '/')	0	0	0	0	0	0	0	9	1	19	0	0	228	3
('/', 'e')	0	0	0	0	0	0	0	1	0	4	0	0	85	5
('ɑ', ' ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
(' ', 'ɜ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('ɜ', ' ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
(' ', 'ɔ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
(' ', 'ʁ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('ʁ', ' ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('n', 'ɜ')	0	0	0	0	0	0	0	0	0	7	0	0	0	0
('ɜ', 'q')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('̈', 'r')	0	0	0	0	0	0	0	0	0	6	32	0	0	0
('q', 'a')	0	0	0	0	0	0	0	0	0	19	1	0	16	0
('.', '3')	0	0	0	0	0	0	3	4	1	2	0	2	308	24
('y', 'y')	0	0	0	0	0	0	0	0	0	20	0	0	0	0
('6', '.')	0	0	0	0	0	0	9	3	0	2	3	1	690	26
('q', '-')	0	0	0	0	0	0	0	0	0	3	0	0	189	0
('5', '5')	0	0	0	0	0	0	3	7	0	3	4	0	490	39
('ö', "'")	0	0	0	0	0	0	1	0	0	11	0	0	0	0
('9', '-')	0	0	0	0	0	0	3	3	0	1	2	0	128	28
('-', '3')	0	0	0	0	0	0	7	3	0	1	0	0	231	23
('3', '6')	0	0	0	0	0	0	6	4	0	1	0	0	422	31
('c', '/')	0	0	0	0	0	0	0	1	0	3	0	0	53	0
('/', 'p')	0	0	0	0	0	0	1	3	0	21	1	0	112	4
('q', 'o')	0	0	0	0	0	0	0	0	0	2	0	0	8	0
('.', '7')	0	0	0	0	0	0	0	0	0	1	0	0	138	6
('.', '4')	0	0	0	0	0	0	12	0	3	1	1	1	202	21
(',', '7')	0	0	0	0	0	0	0	0	0	1	0	0	889	18
('7', '7')	0	0	0	0	0	0	2	2	0	1	5	1	213	38
('3', '3')	0	0	0	0	0	0	13	2	1	1	2	4	1222	29
('5', ',')	0	0	0	0	0	0	2	0	2	1	0	0	691	15
(' ', '%')	0	0	0	0	0	0	0	7	1	1	0	0	369	73
('%', ' ')	0	0	0	0	0	0	0	7	1	1	0	0	369	73
('q', 't')	0	0	0	0	0	0	0	0	0	7	0	0	43	0
('5', '.')	0	0	0	0	0	0	8	2	2	1	2	4	1115	41
('t', '/')	0	0	0	0	0	0	1	2	0	28	0	1	861	7
('/', 's')	0	0	0	0	0	0	0	4	0	11	2	1	1102	3
('/', 'ə')	0	0	0	0	0	0	0	0	0	16	0	0	0	0
('ə', '/')	0	0	0	0	0	0	0	0	0	17	0	0	0	0
('/', 'i')	0	0	0	0	0	0	1	1	0	31	0	1	189	1
('i', '/')	0	0	0	0	0	0	0	2	0	25	3	1	157	0
('̈', 'b')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('/', 'k')	0	0	0	0	0	0	0	1	0	22	0	0	29	0
('k', '/')	0	0	0	0	0	0	0	3	0	17	0	0	32	1
('/', 'q')	0	0	0	0	0	0	0	0	0	27	0	0	7	0
('q', '/')	0	0	0	0	0	0	0	0	0	38	0	0	7	0
('/', 'ɣ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('ɣ', '/')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('/', 'ʁ')	0	0	0	0	0	0	0	0	0	7	0	0	0	0
('ʁ', '/')	0	0	0	0	0	0	0	0	0	7	0	0	0	0
('p', '/')	0	0	0	0	0	0	0	2	0	9	0	0	136	0
('/', 't')	0	0	0	0	0	0	0	4	0	36	0	1	160	1
('s', '/')	0	0	0	0	0	0	2	10	0	17	1	0	573	3
('̈', ' ')	0	0	0	0	0	0	0	0	0	2	12	0	0	0
('/', 'l')	0	0	0	0	0	0	3	2	0	9	0	0	92	3
('l', '/')	0	0	0	0	0	0	0	11	0	14	0	0	126	0
('/', 'h')	0	0	0	0	0	0	1	3	0	7	0	0	62	3
('n', '/')	0	0	0	0	0	0	1	7	0	22	3	1	195	11
('/', 'm')	0	0	0	0	0	0	0	4	0	15	0	0	255	3
('-', '/')	0	0	0	0	0	0	0	0	0	3	0	0	69	1
(' ', '{')	0	0	0	0	0	0	0	2	0	7	0	0	0	1
('{', ' ')	0	0	0	0	0	0	0	2	0	7	0	0	0	1
(' ', '}')	0	0	0	0	0	0	0	2	0	7	0	0	0	0
('}', ' ')	0	0	0	0	0	0	0	0	0	7	0	0	0	0
('k', '1')	0	0	0	0	0	0	0	6	0	4	0	0	12	0
('1', 'k')	0	0	0	0	0	0	0	0	0	3	0	0	6	1
('k', '2')	0	0	0	0	0	0	0	0	0	4	0	0	34	1
('2', 'k')	0	0	0	0	0	0	0	1	0	1	0	0	107	0
('v', '/')	0	0	0	0	0	0	0	1	0	8	0	0	20	5
('/', 'ŋ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('/', 'v')	0	0	0	0	0	0	0	1	0	7	0	0	82	3
('/', 'g')	0	0	0	0	0	0	58	7	0	3	0	1	55	2
('g', '/')	0	0	0	0	0	0	1	5	0	5	1	1	76	0
('q', 'n')	0	0	0	0	0	0	0	0	0	1	0	0	19	0
('/', 'r')	0	0	0	0	0	0	0	3	0	38	0	0	55	0
('r', '/')	0	0	0	0	0	0	0	10	0	37	0	1	191	4
('p', 'q')	0	0	0	0	0	0	0	0	0	2	0	0	12	0
('u', 'q')	0	0	0	0	0	0	0	0	0	2	0	0	8	0
('/', 'b')	0	0	0	0	0	0	0	0	0	1	0	0	83	3
('q', 'p')	0	0	0	0	0	0	0	0	0	2	0	0	5	0
('/', 'x')	0	0	0	0	0	0	0	0	0	5	0	0	17	0
('x', 'x')	0	0	0	0	0	0	0	0	0	2	0	0	200	7
('x', '/')	0	0	0	0	0	0	0	0	0	4	1	0	73	0
('/', 'ɬ')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('ɬ', 'ɬ')	0	0	0	0	0	0	0	0	0	8	0	0	0	0
('r', '+')	0	0	0	0	0	0	0	0	0	1	0	0	6	0
('9', '.')	0	0	0	0	0	0	6	3	2	1	1	0	434	18
('/', '-')	0	0	0	0	0	0	0	0	0	13	0	0	4	0
('7', '1')	0	0	0	0	0	0	5	3	2	3	4	0	194	46
('d', '/')	0	0	0	0	0	0	1	4	0	1	0	0	81	1
('/', 'ɑ')	0	0	0	0	0	0	0	0	0	10	0	0	0	0
('ɔ', '/')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('/', 'u')	0	0	0	0	0	0	0	0	0	5	0	0	37	0
('t', '͡')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('ː', '/')	0	0	0	0	0	0	0	0	0	23	0	0	0	0
('/', 'f')	0	0	0	0	0	0	0	1	0	4	0	1	100	1
('f', '/')	0	0	0	0	0	0	0	0	0	3	0	3	27	2
('/', 'ɜ')	0	0	0	0	0	0	0	0	0	9	0	0	0	0
('a', '/')	0	0	0	0	0	0	0	2	0	8	0	0	203	3
('c', '1')	0	0	0	0	0	0	0	2	0	14	0	0	274	0
('1', 'c')	0	0	0	0	0	0	0	0	0	5	0	0	5	0
('s', '|')	0	0	0	0	0	0	0	0	0	6	0	0	6	0
('|', 'h')	0	0	0	0	0	0	0	0	0	6	0	0	0	0
('-', '6')	0	0	0	0	0	0	1	0	0	2	0	0	121	30
(' ', '+')	0	0	0	0	0	0	0	2	0	3	1	0	75	6
('-', '4')	0	0	0	0	0	0	2	2	0	1	0	0	292	26
('5', '-')	0	0	0	0	0	0	5	1	5	1	3	0	504	68
('v', 'å')	0	0	0	0	0	0	0	0	0	0	10	0	0	0
('7', '3')	0	0	0	0	0	0	2	4	0	0	2	0	261	26
('8', '-')	0	0	0	0	0	0	5	0	0	0	3	0	514	34
('-', '1')	0	0	0	0	0	0	15	18	4	0	14	1	408	165
('å', 'k')	0	0	0	0	0	0	0	0	0	0	115	0	0	0
('9', '3')	0	0	0	0	0	0	13	15	0	0	3	0	243	104
('6', '-')	0	0	0	0	0	0	2	3	0	0	1	0	698	113
('.', '8')	0	0	0	0	0	0	0	0	0	0	1	0	120	11
('7', '-')	0	0	0	0	0	0	2	2	1	0	2	0	276	59
('0', 'e')	0	0	0	0	0	0	4	2	1	0	2	0	307	10
('3', '/')	0	0	0	0	0	0	2	0	0	0	1	0	114	4
('å', 'w')	0	0	0	0	0	0	0	0	0	0	9	0	0	0
('t', 'å')	0	0	0	0	0	0	0	0	0	0	30	0	0	0
('c', 'q')	0	0	0	0	0	0	0	4	11	0	1	0	62	41
('6', '9')	0	0	0	0	0	0	4	6	0	0	1	0	250	72
('g', 'q')	0	0	0	0	0	0	0	0	0	0	1	0	9	0
('-', 'ä')	0	0	0	0	0	0	1	0	0	0	1	0	66	0
('9', '/')	0	0	0	0	0	0	1	0	0	0	1	0	123	1
('/', '9')	0	0	0	0	0	0	0	0	0	0	1	0	386	0
('8', 'e')	0	0	0	0	0	0	0	3	0	0	1	0	9	5
('å', 'å')	0	0	0	0	0	0	0	0	0	0	19	0	0	0
('.', '-')	0	0	0	0	0	0	6	2	2	0	1	0	30	19
('2', 'g')	0	0	0	0	0	0	0	0	0	0	1	0	16	0
('/', 'w')	0	0	0	0	0	0	0	22	0	0	4	0	490	17
('3', 'g')	0	0	0	0	0	0	0	0	0	0	1	0	165	0
('+', ' ')	0	0	0	0	0	0	0	2	0	0	1	0	189	0
('/', 'o')	0	0	0	0	0	0	0	5	0	0	2	0	162	7
('r', '…')	0	0	0	0	0	0	0	59	21	0	1	0	0	0
('é', 'd')	0	0	0	0	0	0	1	1	0	0	1	0	4	8
('d', '…')	0	0	0	0	0	0	2	27	2	0	1	0	0	0
('p', '…')	0	0	0	0	0	0	0	10	0	0	2	0	0	0
('.', '´')	0	0	0	0	0	0	1	3	0	0	12	0	0	0
('q', 'e')	0	0	0	0	0	0	0	1	0	0	1	0	14	0
('ä', 'ü')	0	0	0	0	0	0	21	0	0	0	1	0	0	0
('ğ', 's')	0	0	0	0	0	0	15	0	0	0	0	0	0	0
('i', 'ġ')	0	0	0	0	0	0	87	0	0	0	0	0	0	0
('â', 'w')	0	0	0	0	0	0	16	0	0	0	0	0	0	0
('ğ', 't')	0	0	0	0	0	0	100	0	0	0	0	0	0	0
('i', 'ğ')	0	0	0	0	0	0	79	0	0	0	0	0	0	0
('ġ', 'l')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('ģ', ' ')	0	0	0	0	0	0	25	0	0	0	0	0	0	0
('ġ', 't')	0	0	0	0	0	0	90	0	0	0	0	0	0	0
('n', 'x')	0	0	0	0	0	0	10	1	0	0	0	0	57	4
('w', '´')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
(' ', 'î')	0	0	0	0	0	0	21	0	0	0	0	0	1	0
('u', 'ğ')	0	0	0	0	0	0	54	0	0	0	0	0	0	0
('ä', 'ġ')	0	0	0	0	0	0	97	0	0	0	0	0	0	0
('û', 'a')	0	0	0	0	0	0	22	0	0	0	0	0	0	0
('s', 'û')	0	0	0	0	0	0	22	0	0	0	0	0	0	0
('-', 'ö')	0	0	0	0	0	0	0	1	1	0	0	5	105	0
('0', 'j')	0	0	0	0	0	0	3	0	0	0	0	0	8	1
('l', 'x')	0	0	0	0	0	0	2	0	0	0	0	0	34	1
('u', 'ġ')	0	0	0	0	0	0	42	0	0	0	0	0	0	0
('f', 'â')	0	0	0	0	0	0	16	0	0	0	0	0	0	0
('/', '7')	0	0	0	0	0	0	3	1	0	0	0	0	9	2
('r', 'ġ')	0	0	0	0	0	0	10	0	0	0	0	0	0	0
('t', 'û')	0	0	0	0	0	0	16	0	0	0	0	0	0	0
('ü', '-')	0	0	0	0	0	0	0	0	0	0	0	4	21	0
('.', 'r')	0	0	0	0	0	0	0	2	0	0	0	3	62	6
('î', 'u')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('r', 'ğ')	0	0	0	0	0	0	7	0	0	0	0	0	0	0
('g', 'î')	0	0	0	0	0	0	28	0	0	0	0	0	0	0
('ü', 'ġ')	0	0	0	0	0	0	17	0	0	0	0	0	0	0
('o', 'ğ')	0	0	0	0	0	0	38	0	0	0	0	0	0	0
('á', 'l')	0	0	0	0	0	0	1	7	9	0	0	0	0	2
('ï', 'm')	0	0	0	0	0	0	13	0	0	0	0	0	0	4
('.', 'u')	0	0	0	0	0	0	1	0	0	0	0	1	61	3
('ä', 'ģ')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('ģ', 'ģ')	0	0	0	0	0	0	10	0	0	0	0	0	0	0
('ġ', 's')	0	0	0	0	0	0	13	0	0	0	0	0	0	0
('e', 'ğ')	0	0	0	0	0	0	11	0	0	0	0	0	0	0
('1', 'g')	0	0	0	0	0	0	0	1	0	0	0	1	4	0
('6', ',')	0	0	0	0	0	0	3	1	0	0	0	0	662	13
(',', '1')	0	0	0	0	0	0	10	1	1	0	0	2	1231	10
('6', '1')	0	0	0	0	0	0	3	5	0	0	0	0	203	31
('.', '/')	0	0	0	0	0	0	2	0	0	0	0	0	6	1
('e', 'ġ')	0	0	0	0	0	0	13	0	0	0	0	0	0	0
('o', 'ü')	0	0	0	0	0	0	5	0	0	0	0	0	47	0
('r', 'ģ')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
('ġ', 'n')	0	0	0	0	0	0	8	0	0	0	0	0	0	0
(' ', '#')	0	0	0	0	0	0	1	0	0	0	0	0	43	0
('#', ' ')	0	0	0	0	0	0	1	0	0	0	0	0	45	0
('é', 'h')	0	0	0	0	0	0	6	0	0	0	0	0	0	0
('9', ',')	0	0	0	0	0	0	1	0	0	0	0	0	718	9
('.', '6')	0	0	0	0	0	0	7	0	0	0	0	0	181	20
('3', 'd')	0	0	0	0	0	0	0	2	0	0	0	1	874	1
('3', '-')	0	0	0	0	0	0	4	4	0	0	0	0	1365	46
('6', '2')	0	0	0	0	0	0	4	3	0	0	0	0	279	39
('-', '8')	0	0	0	0	0	0	2	0	1	0	0	0	99	8
('-', '7')	0	0	0	0	0	0	2	0	3	0	0	0	177	20
('e', '…')	0	0	0	0	0	0	6	55	2	0	0	0	0	0
('-', '9')	0	0	0	0	0	0	5	0	0	0	0	0	120	2
('5', '/')	0	0	0	0	0	0	3	1	0	0	0	0	135	8
('/', '4')	0	0	0	0	0	0	2	0	0	0	0	0	81	3
('3', ',')	0	0	0	0	0	0	1	1	0	0	0	0	1068	10
(',', '8')	0	0	0	0	0	0	1	0	1	0	0	0	922	18
('m', '²')	0	0	0	0	0	0	1	0	0	0	0	0	4	18
('²', ' ')	0	0	0	0	0	0	1	0	0	0	0	0	4	14
('e', '2')	0	0	0	0	0	0	2	0	0	0	0	0	197	0
('c', 'm')	0	0	0	0	0	0	1	3	0	0	0	0	376	11
('4', ',')	0	0	0	0	0	0	3	1	3	0	0	0	818	21
('0', 'a')	0	0	0	0	0	0	1	0	0	0	0	0	44	0
('0', 'g')	0	0	0	0	0	0	1	0	0	0	0	0	17	1
('/', '5')	0	0	0	0	0	0	3	0	0	0	0	0	39	2
('l', '…')	0	0	0	0	0	0	2	16	1	0	0	0	0	0
('b', 'v')	0	0	0	0	0	0	2	3	0	0	0	0	238	26
('0', '°')	0	0	0	0	0	0	2	0	0	0	0	0	11	1
('°', 'c')	0	0	0	0	0	0	1	0	0	0	0	0	15	0
('°', ' ')	0	0	0	0	0	0	1	0	0	0	0	0	8	2
('a', '4')	0	0	0	0	0	0	0	0	0	0	0	1	35	0
('2', '/')	0	0	0	0	0	0	0	2	0	0	0	1	117	7
('.', 'e')	0	0	0	0	0	0	0	9	4	0	0	1	186	2
('h', '1')	0	0	0	0	0	0	1	0	0	0	0	0	41	0
('.', 'i')	0	0	0	0	0	0	0	5	1	0	0	2	186	5
('a', '8')	0	0	0	0	0	0	1	0	0	0	0	0	8	0
('a', 'é')	0	0	0	0	0	0	37	0	0	0	0	0	0	0
('o', 'é')	0	0	0	0	0	0	48	3	0	0	0	0	0	0
('é', 'w')	0	0	0	0	0	0	44	0	0	0	0	0	0	0
('7', 'g')	0	0	0	0	0	0	1	0	0	0	0	0	5	0
('t', 'ì')	0	0	0	0	0	0	1	19	0	0	0	0	0	0
('ï', 'n')	0	0	0	0	0	0	0	3	1	0	0	0	0	32
(' ', '€')	0	0	0	0	0	0	0	11	11	0	0	0	0	0
('€', ' ')	0	0	0	0	0	0	0	9	11	0	0	0	0	0
('é', 'ú')	0	0	0	0	0	0	0	1	5	0	0	0	0	0
('ú', 'r')	0	0	0	0	0	0	0	3	5	0	0	0	0	0
