PoS-tag n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	DEU	NDL
('AUX', 'NOUN', 'CCONJ')	29	48	9	2	34	3	29	30	12	5	5	17	378	20
('VERB', 'DET', 'ADJ')	555	815	101	50	1249	74	465	330	213	94	58	164	4398	670
('NOUN', 'PUNCT', 'CCONJ')	579	1530	367	182	3623	103	657	366	200	114	59	235	2878	259
('NOUN', 'AUX', 'ADJ')	197	322	38	28	237	8	156	142	81	40	31	100	2960	246
('AUX', 'ADJ', 'PUNCT')	166	269	43	20	265	15	125	99	54	29	47	112	1034	81
('CCONJ', 'NOUN', 'AUX')	108	156	34	10	198	5	99	112	44	39	22	58	1500	89
('NOUN', 'AUX', 'PART')	80	49	13	5	72	4	48	45	25	13	7	43	716	71
('PART', 'ADJ', 'SCONJ')	1	1	3	0	0	0	1	3	7	0	0	0	0	27
('ADJ', 'SCONJ', 'VERB')	1	0	0	1	0	0	0	2	0	0	0	0	0	8
('SCONJ', 'VERB', 'PUNCT')	5	1	6	1	3	0	0	3	0	0	0	5	34	34
('PUNCT', 'ADV', 'PUNCT')	101	225	59	20	420	26	111	94	29	41	22	131	443	52
('SCONJ', 'PRON', 'DET')	760	565	160	94	934	80	446	330	240	74	54	163	1954	162
('NOUN', 'PART', 'ADP')	60	50	27	8	130	9	33	47	36	5	10	11	680	41
('PART', 'ADP', 'PUNCT')	56	105	35	13	115	9	34	93	66	7	11	14	294	26
('ADP', 'PUNCT', 'CCONJ')	81	347	81	42	793	26	85	78	50	12	11	27	211	18
('PRON', 'PUNCT', 'NOUN')	94	132	20	11	167	9	55	45	13	9	9	44	157	7
('ADV', 'PUNCT', 'VERB')	151	213	27	18	211	17	118	79	26	24	11	89	280	27
('PUNCT', 'VERB', 'DET')	559	910	147	62	1452	84	485	257	163	59	37	204	5671	229
('CCONJ', 'AUX', 'PRON')	153	291	14	9	795	12	129	74	26	16	12	50	245	35
('PRON', 'VERB', 'VERB')	341	161	58	33	143	23	167	155	91	17	31	60	121	127
('VERB', 'VERB', 'CCONJ')	130	83	32	12	82	5	64	84	52	9	5	27	84	27
('VERB', 'CCONJ', 'PART')	112	86	23	4	54	4	26	36	14	9	9	22	217	11
('CCONJ', 'PART', 'VERB')	76	81	19	6	45	2	12	30	13	7	8	17	132	6
('PART', 'VERB', 'AUX')	215	318	38	31	369	25	105	124	55	57	29	64	1789	80
('ADV', 'ADV', 'ADV')	444	936	399	232	1673	70	333	995	516	126	104	591	2636	250
('PUNCT', 'CCONJ', 'SCONJ')	242	683	75	109	1933	65	176	73	46	20	26	64	154	26
('CCONJ', 'SCONJ', 'PRON')	264	675	88	97	1573	65	269	190	110	40	41	123	176	42
('NOUN', 'PROPN', 'VERB')	75	94	18	7	443	6	105	60	28	17	8	35	4014	171
('ADV', 'SCONJ', 'PRON')	106	71	86	48	100	8	134	268	154	15	15	21	280	81
('ADJ', 'NOUN', 'ADP')	901	1873	407	168	3666	134	814	1448	926	446	245	521	36175	3333
('ADV', 'VERB', 'ADV')	301	379	104	38	317	39	201	229	85	39	29	100	930	130
('ADV', 'PUNCT', 'CCONJ')	185	487	83	53	1317	37	190	90	69	25	24	93	245	19
('NOUN', 'AUX', 'NOUN')	70	49	19	8	53	4	58	93	32	17	10	31	1637	123
('AUX', 'NOUN', 'VERB')	78	74	15	1	70	4	62	49	12	15	10	26	491	61
('PROPN', 'VERB', 'DET')	105	230	26	12	198	10	252	140	107	19	13	66	3255	293
('PRON', 'AUX', 'ADV')	987	1727	513	238	2152	152	685	1223	650	162	210	677	2333	461
('ADV', 'ADV', 'PART')	144	277	79	35	477	25	100	208	125	27	38	119	1326	93
('ADV', 'PART', 'ADV')	165	281	40	30	318	26	113	210	123	28	40	174	1308	62
('PART', 'ADV', 'PUNCT')	167	241	33	22	289	21	123	102	64	23	19	121	483	27
('NOUN', 'ADV', 'ADV')	288	511	166	72	744	41	255	464	224	85	56	290	4479	250
('NOUN', 'PROPN', 'PUNCT')	138	374	24	14	863	27	210	153	55	28	31	100	4239	541
('PROPN', 'PUNCT', 'AUX')	16	90	9	2	96	1	26	35	21	17	8	20	1693	200
('AUX', 'PRON', 'ADJ')	236	536	127	46	508	30	254	275	168	68	77	141	1422	133
('PRON', 'ADJ', 'PUNCT')	212	464	101	58	395	23	266	185	121	43	42	144	767	90
('PRON', 'ADV', 'NUM')	14	45	15	5	41	0	4	23	10	9	10	13	541	24
('ADV', 'NUM', 'NOUN')	58	103	48	20	93	1	75	155	60	37	17	89	9686	275
('NUM', 'NOUN', 'ADJ')	39	59	25	4	56	13	78	53	38	22	9	48	3088	119
('PRON', 'ADV', 'PART')	355	546	111	70	732	53	170	317	175	43	54	189	810	98
('DET', 'NOUN', 'PRON')	450	511	119	70	524	30	429	356	166	60	52	166	3079	472
('NOUN', 'PRON', 'ADP')	92	118	44	20	191	11	76	159	68	17	17	34	293	240
('PRON', 'ADP', 'ADJ')	192	145	36	13	245	13	88	90	46	37	22	46	1870	95
('ADP', 'ADJ', 'NOUN')	805	708	130	46	1044	51	565	653	293	198	86	237	21050	1147
('ADV', 'PART', 'VERB')	346	479	120	58	618	41	253	315	172	43	46	194	2155	268
('PART', 'VERB', 'VERB')	156	160	49	11	297	12	102	120	66	16	11	71	251	187
('VERB', 'VERB', 'AUX')	68	109	5	9	180	4	19	44	14	18	9	18	136	16
('AUX', 'ADV', 'DET')	327	557	110	54	611	47	202	297	131	60	62	195	3859	299
('VERB', 'PRON', 'PRON')	947	1116	254	110	1642	107	861	482	297	104	85	281	1071	161
('PRON', 'PRON', 'PUNCT')	281	317	60	33	418	30	222	66	32	30	29	112	160	12
('PUNCT', 'CCONJ', 'AUX')	67	234	15	18	760	6	51	17	3	9	8	20	347	37
('AUX', 'PRON', 'VERB')	708	769	128	54	705	54	613	209	83	97	76	226	574	144
('VERB', 'PUNCT', 'NOUN')	358	303	77	27	237	17	202	192	52	37	22	85	915	62
('PUNCT', 'NOUN', 'ADP')	117	94	35	12	102	3	148	193	68	55	21	80	2347	450
('PRON', 'VERB', 'ADJ')	182	244	68	33	238	17	160	220	138	31	16	65	430	80
('PUNCT', 'VERB', 'ADP')	241	239	36	22	255	25	173	135	48	46	28	140	1449	309
('CCONJ', 'VERB', 'ADP')	460	628	52	28	1109	44	407	253	108	35	30	137	844	112
('PUNCT', 'CCONJ', 'VERB')	364	597	112	55	1160	46	209	102	35	20	17	57	683	73
('ADV', 'ADP', 'ADV')	41	100	37	13	168	8	35	99	41	21	22	41	684	30
('ADP', 'ADV', 'ADV')	43	48	21	3	93	3	27	47	28	7	11	35	368	15
('NOUN', 'ADV', 'PART')	99	142	36	8	264	14	87	107	60	28	15	71	1608	123
('ADV', 'PART', 'ADJ')	75	232	39	30	281	15	64	167	94	23	29	38	1134	100
('PART', 'ADJ', 'AUX')	36	57	13	9	67	4	32	33	14	9	11	7	330	33
('PUNCT', 'ADV', 'ADJ')	137	252	118	45	313	21	130	112	58	39	19	80	1328	119
('ADV', 'ADJ', 'PRON')	14	66	33	13	79	7	39	63	44	8	13	11	163	28
('ADJ', 'PRON', 'VERB')	19	35	17	6	39	4	24	27	12	2	8	12	91	13
('PRON', 'VERB', 'AUX')	1194	830	96	62	993	53	558	251	98	78	80	197	882	129
('VERB', 'ADP', 'PRON')	338	238	41	19	393	14	286	170	84	32	23	45	980	114
('NOUN', 'AUX', 'VERB')	178	149	165	10	227	3	121	84	114	23	19	59	1055	1324
('PRON', 'VERB', 'CCONJ')	529	448	68	21	337	24	381	167	55	29	38	127	201	27
('PRON', 'ADV', 'NOUN')	155	193	51	31	191	17	118	132	59	33	28	41	638	75
('SCONJ', 'PRON', 'ADJ')	197	240	73	32	258	17	122	194	121	33	24	36	663	86
('PRON', 'ADJ', 'AUX')	191	165	66	33	182	6	90	108	65	31	17	33	352	87
('ADJ', 'AUX', 'VERB')	11	8	44	3	11	0	11	18	36	5	0	4	46	143
('AUX', 'VERB', 'CCONJ')	104	67	33	3	59	0	46	12	19	8	8	25	94	105
('CCONJ', 'VERB', 'CCONJ')	92	146	20	8	206	4	100	40	15	10	11	50	91	1
('AUX', 'ADV', 'ADJ')	240	542	130	63	499	37	218	359	208	56	52	196	2658	266
('AUX', 'PUNCT', 'SCONJ')	387	309	88	65	558	24	142	96	31	76	50	54	2712	47
('ADV', 'PUNCT', 'ADV')	253	348	101	35	427	39	299	101	62	47	35	247	719	51
('ADV', 'PRON', 'PRON')	123	111	69	19	166	7	78	82	41	9	10	58	186	47
('PUNCT', 'SCONJ', 'ADV')	107	151	104	57	142	11	63	97	48	36	12	40	1430	82
('SCONJ', 'ADV', 'ADJ')	7	13	12	4	6	1	3	31	23	7	5	3	305	34
('ADV', 'ADJ', 'PART')	23	87	30	15	88	8	24	68	46	13	16	15	450	42
('ADJ', 'PART', 'VERB')	56	183	64	26	170	13	62	187	104	29	21	33	1409	148
('PART', 'VERB', 'CCONJ')	197	196	72	22	196	14	95	166	89	23	22	49	1008	71
('VERB', 'VERB', 'PUNCT')	1054	706	329	104	814	75	509	526	327	91	95	236	1795	420
('AUX', 'ADV', 'NOUN')	72	109	27	14	162	14	46	108	39	24	15	49	897	75
('ADV', 'NOUN', 'AUX')	38	32	18	7	61	2	25	53	26	8	7	19	231	86
('NOUN', 'VERB', 'VERB')	404	272	112	42	341	35	220	288	151	48	38	72	1040	259
('ADV', 'ADV', 'ADP')	325	945	272	167	1365	47	306	842	454	125	88	348	4104	331
('VERB', 'PUNCT', 'PROPN')	94	284	64	24	140	1	32	71	20	25	11	29	539	71
('ADP', 'PRON', 'CCONJ')	150	84	11	5	176	3	109	59	29	9	12	37	97	13
('PRON', 'CCONJ', 'ADJ')	15	21	7	3	20	2	13	16	5	5	6	7	231	2
('CCONJ', 'ADJ', 'NOUN')	280	346	79	25	498	23	227	235	101	93	47	97	6381	368
('PART', 'ADV', 'ADP')	97	127	25	12	163	9	65	113	69	29	25	53	910	50
('PUNCT', 'SCONJ', 'VERB')	17	5	14	3	3	5	13	10	0	1	0	9	59	13
('NOUN', 'PUNCT', 'ADJ')	103	247	69	22	184	15	159	187	96	42	24	87	2332	248
('PUNCT', 'ADJ', 'PRON')	1	16	5	1	8	0	1	8	5	2	2	6	34	3
('ADJ', 'PRON', 'AUX')	3	12	5	1	8	0	13	9	2	3	5	4	26	6
('PRON', 'AUX', 'ADP')	404	283	100	43	503	26	232	205	102	40	41	111	1063	105
('AUX', 'ADP', 'PRON')	125	68	13	7	142	4	105	58	38	19	12	34	1048	52
('PRON', 'ADV', 'CCONJ')	243	189	41	17	314	7	163	86	55	11	11	66	442	10
('ADV', 'CCONJ', 'ADJ')	29	48	20	11	48	5	34	43	17	9	5	24	471	6
('VERB', 'ADV', 'PRON')	92	128	64	35	142	21	81	180	78	5	10	52	239	75
('ADV', 'PRON', 'PUNCT')	140	138	35	24	172	19	80	82	44	21	27	147	207	13
('PRON', 'PUNCT', 'CCONJ')	105	255	71	35	590	18	72	58	26	21	11	28	47	4
('ADV', 'ADJ', 'DET')	21	100	20	13	116	5	38	45	27	23	8	10	836	37
('CCONJ', 'PRON', 'PUNCT')	125	128	24	16	174	5	97	47	26	22	21	76	95	7
('ADV', 'ADJ', 'AUX')	153	220	88	60	276	8	102	192	142	45	43	78	1420	127
('ADJ', 'NOUN', 'NOUN')	151	154	40	18	326	24	135	197	99	32	22	69	1970	371
('NOUN', 'NOUN', 'ADP')	118	157	65	36	363	16	163	354	146	38	20	41	4349	485
('NOUN', 'ADP', 'ADV')	63	87	37	17	240	9	61	120	52	29	39	55	3685	82
('ADP', 'ADV', 'PUNCT')	46	130	32	20	139	9	58	61	20	26	11	52	180	8
('CCONJ', 'PART', 'ADJ')	15	21	3	4	12	0	7	11	11	2	3	2	87	8
('ADJ', 'SCONJ', 'PRON')	8	21	44	16	11	2	18	134	78	0	3	6	17	87
('CCONJ', 'ADV', 'ADV')	122	160	89	24	280	8	94	143	90	34	27	128	819	44
('CCONJ', 'ADJ', 'PUNCT')	77	342	50	17	207	15	130	96	34	21	19	58	515	28
('PUNCT', 'VERB', 'PROPN')	177	844	151	104	1040	44	219	299	167	36	23	111	4756	111
('VERB', 'PROPN', 'PUNCT')	266	445	104	78	528	36	267	236	163	22	14	65	2486	131
('ADV', 'VERB', 'ADP')	207	213	60	26	265	19	201	234	107	36	22	24	511	347
('NOUN', 'ADV', 'DET')	108	179	57	23	280	16	109	155	87	43	20	100	2542	245
('ADP', 'NOUN', 'CCONJ')	531	833	115	36	835	32	559	535	145	123	58	191	7484	379
('DET', 'ADJ', 'ADJ')	176	632	137	54	1242	46	182	342	245	103	45	142	6480	953
('ADP', 'PUNCT', 'NOUN')	31	41	22	9	65	0	35	66	15	34	8	72	408	42
('ADV', 'CCONJ', 'PUNCT')	1	5	1	0	7	0	2	7	2	4	2	9	125	0
('CCONJ', 'PUNCT', 'DET')	6	4	3	2	8	0	2	7	2	5	0	10	43	15
('ADP', 'PUNCT', 'SCONJ')	189	206	46	45	196	22	83	62	15	24	12	42	1530	38
('ADV', 'ADV', 'PRON')	109	143	138	66	246	16	80	233	111	25	31	120	444	64
('ADV', 'PRON', 'ADP')	150	264	132	67	333	28	103	308	127	40	14	100	471	131
('NOUN', 'CCONJ', 'ADP')	203	223	64	14	366	6	139	140	87	52	9	128	1498	123
('CCONJ', 'ADP', 'DET')	390	649	164	37	1255	29	288	267	187	116	42	249	2401	212
('INTJ', 'PUNCT', 'VERB')	42	180	39	22	218	16	71	70	34	10	16	71	0	0
('VERB', 'PRON', 'ADJ')	288	729	122	60	641	35	349	373	255	75	36	137	1465	210
('PRON', 'ADJ', 'ADP')	110	395	103	27	414	14	120	269	157	42	22	35	1146	122
('ADP', 'PUNCT', 'PRON')	186	282	75	40	286	22	86	90	30	17	15	69	1125	30
('SCONJ', 'PRON', 'NOUN')	229	109	20	12	123	13	81	129	48	14	9	22	730	69
('AUX', 'PUNCT', 'AUX')	202	271	37	39	447	15	84	111	77	63	45	129	3369	55
('ADP', 'NOUN', 'AUX')	129	185	60	24	275	13	101	227	99	31	25	94	2403	290
('PUNCT', 'CCONJ', 'ADP')	157	362	116	24	923	25	106	103	68	38	17	68	895	82
('CCONJ', 'ADP', 'NOUN')	133	165	46	13	241	7	98	159	54	25	17	65	1058	66
('ADP', 'NOUN', 'NOUN')	56	34	42	8	53	7	84	180	35	9	3	9	1087	123
('ADV', 'PRON', 'VERB')	226	272	108	45	289	31	202	174	77	31	36	184	444	85
('ADV', 'PRON', 'ADJ')	51	98	48	27	98	6	48	132	71	15	11	48	461	56
('ADJ', 'ADP', 'AUX')	3	7	16	8	3	0	1	28	15	1	1	0	1	15
('ADP', 'AUX', 'PUNCT')	19	44	46	40	61	1	9	111	58	4	4	6	21	21
('NOUN', 'ADJ', 'CCONJ')	69	192	32	13	168	13	71	108	54	14	9	34	1020	34
('NOUN', 'ADJ', 'PART')	17	38	16	4	56	3	10	49	31	4	10	7	824	49
('ADV', 'ADP', 'VERB')	40	109	139	84	115	6	39	370	144	14	11	36	147	67
('PRON', 'AUX', 'PUNCT')	240	253	52	36	383	18	150	85	38	20	41	104	286	52
('PART', 'PUNCT', 'CCONJ')	37	74	25	12	220	6	12	19	24	8	6	17	47	6
('PRON', 'PRON', 'NOUN')	79	63	18	5	85	6	69	38	18	6	7	19	923	42
('PRON', 'NOUN', 'CCONJ')	110	84	21	5	69	4	70	47	22	8	8	30	1082	8
('CCONJ', 'NOUN', 'VERB')	477	514	69	39	533	17	392	261	79	91	51	104	5145	126
('ADV', 'ADV', 'DET')	263	671	200	95	949	66	212	465	261	86	81	336	3638	333
('ADV', 'AUX', 'VERB')	27	34	55	2	21	3	30	21	21	3	6	2	118	240
('SCONJ', 'ADV', 'ADV')	29	51	41	20	46	3	16	98	36	12	1	14	272	42
('PRON', 'VERB', 'PART')	189	175	62	25	223	11	130	162	108	25	19	46	202	74
('VERB', 'PART', 'PUNCT')	124	130	44	16	135	9	43	44	27	13	7	37	118	10
('CCONJ', 'PRON', 'ADP')	129	102	34	15	230	4	99	74	32	22	9	45	311	46
('ADJ', 'NOUN', 'ADJ')	193	323	92	23	470	25	148	201	122	54	37	66	7232	211
('PRON', 'AUX', 'PART')	197	171	42	13	150	10	127	120	66	18	23	50	291	65
('PRON', 'PUNCT', 'DET')	101	85	21	4	161	10	80	19	9	12	13	40	330	9
('ADP', 'PRON', 'ADJ')	54	42	24	4	99	2	28	50	46	8	7	6	1875	53
('CCONJ', 'NOUN', 'DET')	63	60	21	3	95	2	46	33	17	5	4	6	1886	34
('ADP', 'PART', 'VERB')	100	140	126	46	178	27	39	367	257	5	12	25	88	360
('INTJ', 'PUNCT', 'ADV')	53	252	72	19	401	41	74	117	57	11	28	134	0	0
('PRON', 'ADP', 'NOUN')	696	684	146	58	923	56	463	703	158	97	62	191	3016	269
('PUNCT', 'PRON', 'PART')	144	90	9	9	89	9	44	19	9	16	14	13	333	11
('PRON', 'PART', 'PART')	20	27	5	2	28	1	11	8	8	1	2	1	13	5
('PART', 'PART', 'VERB')	60	80	12	1	78	3	23	35	26	6	7	16	351	41
('AUX', 'PART', 'PART')	2	6	0	0	9	0	3	5	0	1	1	2	34	8
('PUNCT', 'CCONJ', 'INTJ')	3	2	25	3	19	2	2	24	16	0	0	3	0	0
('CCONJ', 'INTJ', 'VERB')	0	0	0	0	3	0	1	3	2	0	0	0	0	0
('INTJ', 'VERB', 'DET')	3	0	3	0	2	1	2	0	0	0	0	1	0	0
('PRON', 'ADP', 'CCONJ')	117	136	23	6	159	5	58	77	24	12	4	18	19	9
('ADP', 'CCONJ', 'VERB')	379	452	37	20	624	28	206	178	76	25	9	80	445	27
('CCONJ', 'VERB', 'NOUN')	144	104	14	2	144	9	108	69	17	10	7	26	224	19
('VERB', 'NOUN', 'PROPN')	15	47	9	3	203	9	21	34	19	2	3	3	1569	65
('NOUN', 'PROPN', 'ADP')	30	47	12	7	304	4	62	63	12	8	8	12	2426	229
('PROPN', 'ADP', 'DET')	141	328	76	30	583	8	223	282	169	44	35	89	6960	721
('ADJ', 'PRON', 'ADV')	8	24	2	6	22	1	9	22	12	3	4	10	35	14
('PUNCT', 'AUX', 'VERB')	43	40	5	0	52	3	18	13	5	14	4	7	187	107
('VERB', 'PROPN', 'CCONJ')	57	103	11	1	201	1	40	46	27	8	5	16	298	15
('PROPN', 'CCONJ', 'VERB')	98	123	7	5	304	4	81	39	16	2	6	10	268	53
('ADV', 'VERB', 'PROPN')	184	187	29	7	173	22	401	85	132	14	12	73	1267	146
('VERB', 'PROPN', 'ADV')	59	179	32	21	150	10	69	71	41	9	14	93	1505	58
('PROPN', 'ADV', 'DET')	5	43	11	2	63	1	21	34	25	8	3	27	1388	77
('PROPN', 'PUNCT', 'ADV')	76	187	51	16	215	13	84	96	37	17	24	38	1172	256
('PUNCT', 'NOUN', 'VERB')	160	156	30	24	175	12	139	180	39	46	12	94	585	53
('VERB', 'PUNCT', 'ADP')	272	309	109	24	440	15	189	157	56	68	48	129	2853	189
('ADV', 'PUNCT', 'NOUN')	71	159	28	15	174	13	79	60	14	15	8	80	210	21
('ADV', 'PRON', 'DET')	88	84	46	15	154	10	85	60	25	17	9	44	455	59
('PART', 'ADV', 'VERB')	191	195	20	15	206	25	124	86	54	21	21	95	794	49
('PUNCT', 'DET', 'NUM')	3	12	3	0	11	1	8	8	3	1	0	22	72	13
('DET', 'NUM', 'NOUN')	86	106	29	4	97	32	100	65	73	28	5	176	1621	250
('NUM', 'NOUN', 'PUNCT')	152	218	54	15	155	17	218	226	92	52	13	173	7239	550
('PROPN', 'ADV', 'PUNCT')	62	147	22	12	180	6	67	36	26	6	6	39	836	31
('DET', 'ADJ', 'PUNCT')	137	225	50	29	698	28	132	79	47	38	15	90	819	188
('ADJ', 'PUNCT', 'ADJ')	79	233	53	18	678	15	109	75	49	27	19	68	722	126
('PUNCT', 'ADJ', 'NOUN')	210	429	81	42	917	48	296	247	129	68	44	221	4761	419
('INTJ', 'PUNCT', 'CCONJ')	11	68	12	8	75	5	13	37	14	8	8	54	0	0
('PRON', 'PRON', 'PART')	281	340	71	36	472	31	167	108	59	24	25	80	296	39
('ADJ', 'NOUN', 'PRON')	59	126	33	12	197	10	53	130	66	13	9	39	1264	226
('NOUN', 'PRON', 'CCONJ')	11	9	4	1	14	0	12	11	0	1	1	3	24	0
('PRON', 'CCONJ', 'DET')	66	126	20	9	174	6	98	33	18	10	17	27	115	10
('ADJ', 'DET', 'ADJ')	20	75	9	7	77	3	26	43	42	15	8	3	1053	50
('NOUN', 'ADP', 'NUM')	47	80	27	15	78	8	43	132	69	36	12	39	12335	768
('ADP', 'NUM', 'NOUN')	127	210	74	35	169	12	96	332	140	70	38	133	19668	794
('ADP', 'NUM', 'VERB')	1	13	2	1	12	1	5	38	21	7	2	1	332	292
('NUM', 'VERB', 'AUX')	1	8	0	0	5	1	3	6	3	9	3	1	480	7
('INTJ', 'PUNCT', 'INTJ')	27	186	48	9	138	12	66	32	12	6	9	95	0	0
('NOUN', 'NOUN', 'PRON')	6	6	12	6	36	1	20	54	14	0	2	1	85	29
('ADP', 'ADV', 'CCONJ')	11	30	6	1	55	2	21	29	8	11	3	22	587	2
('ADV', 'CCONJ', 'NOUN')	46	49	32	6	59	3	37	60	24	20	9	17	732	5
('ADV', 'PUNCT', 'PRON')	454	544	84	53	668	63	352	93	33	53	30	200	582	18
('ADP', 'PRON', 'PART')	63	36	14	8	76	0	37	51	43	11	7	12	93	35
('PART', 'ADJ', 'PUNCT')	120	310	41	23	313	11	97	133	92	29	39	44	1189	64
('ADJ', 'PUNCT', 'PRON')	195	331	82	44	318	36	150	88	48	30	27	91	619	22
('ADJ', 'PUNCT', 'ADV')	101	243	93	31	207	14	113	101	51	23	20	112	770	68
('ADJ', 'NOUN', 'DET')	197	244	33	20	567	38	161	92	74	53	21	70	16303	317
('NOUN', 'DET', 'ADJ')	233	305	78	17	707	43	222	160	121	41	23	91	16360	357
('VERB', 'AUX', 'NOUN')	2	3	4	0	6	0	13	11	2	0	1	2	64	10
('AUX', 'NOUN', 'PUNCT')	57	79	32	11	93	6	74	68	22	18	6	45	342	49
('NOUN', 'NOUN', 'ADV')	44	51	13	11	175	10	67	98	24	4	3	24	597	64
('ADJ', 'NOUN', 'PROPN')	33	74	6	3	274	10	48	55	19	10	18	25	6620	501
('VERB', 'PART', 'ADV')	69	79	25	1	97	5	79	44	46	12	10	33	294	27
('PART', 'ADV', 'ADV')	58	81	20	9	67	6	82	62	37	27	21	88	374	17
('INTJ', 'PUNCT', 'DET')	23	145	29	18	152	8	29	61	24	0	18	53	0	0
('CCONJ', 'PUNCT', 'INTJ')	4	2	3	1	13	0	4	4	1	6	1	12	0	0
('PUNCT', 'NOUN', 'CCONJ')	308	356	42	13	123	13	308	153	48	65	42	134	3647	250
('CCONJ', 'AUX', 'ADJ')	27	49	2	3	46	1	16	21	8	5	2	3	176	11
('ADJ', 'PUNCT', 'ADP')	14	66	23	10	79	5	37	48	17	23	12	51	476	45
('PUNCT', 'ADP', 'NOUN')	211	199	82	28	257	14	188	223	71	47	26	144	1865	213
('ADP', 'CCONJ', 'ADP')	21	78	10	6	72	2	10	68	25	23	11	27	47	30
('VERB', 'DET', 'PROPN')	32	28	15	2	27	4	65	39	11	1	4	4	1377	146
('VERB', 'DET', 'PRON')	14	21	4	4	23	2	8	9	4	1	1	1	19	5
('CCONJ', 'SCONJ', 'PROPN')	6	38	8	8	95	1	13	9	8	1	0	3	37	4
('SCONJ', 'PROPN', 'PROPN')	19	45	4	8	61	3	10	25	6	5	4	0	185	89
('PROPN', 'PROPN', 'PROPN')	13	19	12	1	72	2	34	225	41	47	13	3	1341	1781
('PROPN', 'PROPN', 'ADV')	15	74	9	1	119	8	18	43	17	6	9	3	955	82
('PROPN', 'ADV', 'ADJ')	13	63	13	7	73	1	13	47	24	4	4	15	1121	47
('ADJ', 'ADP', 'VERB')	14	41	52	18	32	1	6	162	76	9	2	7	25	30
('ADP', 'VERB', 'AUX')	21	94	44	28	109	6	18	186	73	4	1	21	93	16
('NOUN', 'NOUN', 'PUNCT')	255	318	118	38	524	71	330	390	150	45	30	124	5248	475
('VERB', 'PUNCT', 'INTJ')	56	63	32	13	68	8	47	32	9	4	2	50	0	0
('INTJ', 'PUNCT', 'ADP')	9	43	13	3	58	2	21	25	17	5	6	40	0	0
('PUNCT', 'ADV', 'PART')	51	73	21	5	98	4	40	31	16	6	15	42	192	33
('ADV', 'PRON', 'ADV')	189	163	91	30	308	27	129	193	106	16	16	136	406	63
('PUNCT', 'ADJ', 'AUX')	17	56	19	3	64	2	7	25	10	12	6	21	325	6
('ADJ', 'AUX', 'PRON')	47	161	32	29	198	8	69	109	72	42	41	65	663	32
('PUNCT', 'NOUN', 'PROPN')	36	241	7	6	518	11	45	39	15	4	18	60	382	85
('PROPN', 'PUNCT', 'INTJ')	5	35	12	4	16	3	17	7	2	2	1	11	0	0
('AUX', 'ADV', 'PART')	118	196	25	20	225	16	78	134	94	11	27	114	1008	78
('AUX', 'ADV', 'PRON')	102	158	44	27	153	16	72	111	74	13	24	86	404	42
('PRON', 'CCONJ', 'VERB')	241	141	9	3	335	9	132	56	26	7	7	23	38	4
('PART', 'ADP', 'NOUN')	129	102	10	9	123	6	40	98	27	7	10	24	585	35
('ADJ', 'ADJ', 'ADP')	31	148	33	21	191	11	22	172	91	12	9	38	513	66
('ADP', 'DET', 'NUM')	14	41	18	1	48	11	113	47	55	35	9	43	746	229
('DET', 'NUM', 'ADJ')	6	22	3	0	28	3	18	10	7	3	4	21	480	64
('NUM', 'ADJ', 'NOUN')	41	94	21	5	62	5	45	54	34	26	12	47	2295	193
('AUX', 'PUNCT', 'ADP')	82	112	30	11	243	3	46	56	21	32	12	48	1033	35
('AUX', 'PART', 'VERB')	112	91	26	5	56	7	52	49	20	11	11	26	365	72
('PART', 'VERB', 'ADP')	21	53	63	16	43	2	28	210	101	6	4	4	40	356
('ADP', 'DET', 'PRON')	59	10	15	6	19	5	18	11	7	4	2	10	284	26
('SCONJ', 'PROPN', 'ADP')	35	32	12	11	46	0	25	24	42	2	3	15	427	40
('ADV', 'VERB', 'VERB')	192	168	69	20	151	14	87	123	73	27	15	53	128	100
('ADJ', 'ADP', 'NUM')	3	12	4	0	9	0	4	21	9	3	2	0	366	28
('VERB', 'VERB', 'PRON')	41	71	28	14	75	15	67	199	81	17	8	51	31	69
('ADP', 'PROPN', 'CCONJ')	189	143	17	13	149	5	153	143	54	26	20	31	3252	361
('PROPN', 'CCONJ', 'ADP')	34	15	3	0	30	0	19	15	6	9	3	5	290	64
('SCONJ', 'VERB', 'PRON')	7	2	5	1	2	1	5	16	3	0	0	0	7	6
('ADJ', 'ADV', 'VERB')	61	136	37	17	166	9	49	80	40	25	20	41	534	32
('ADP', 'ADP', 'NOUN')	36	62	25	12	63	3	55	174	33	10	2	27	99	63
('VERB', 'ADV', 'CCONJ')	185	118	13	8	172	11	105	64	24	13	8	56	264	14
('DET', 'ADJ', 'AUX')	46	59	16	11	65	5	25	24	16	6	5	28	159	53
('PROPN', 'CCONJ', 'PROPN')	171	185	47	8	224	2	165	254	101	92	33	112	6582	796
('CCONJ', 'PROPN', 'PUNCT')	93	98	37	12	145	4	109	112	35	29	20	62	2321	309
('PART', 'PUNCT', 'ADV')	56	64	26	10	90	1	22	11	18	6	5	31	98	9
('PUNCT', 'ADV', 'PROPN')	27	43	22	12	70	1	15	30	8	4	3	19	986	80
('ADV', 'PROPN', 'PUNCT')	10	18	19	5	38	0	13	23	10	1	2	12	834	46
