PoS-tag n-grams (raw counts)	1939__DWF	1939__DNS	1939__NWF	1939__NNS	1939__MVP	1939__OFL	1980__DWF	1980__NNS	1980__NWF	1980__DNS	1980__MVP	1980__OFL	DEU	NDL
('PROPN', 'PUNCT')	1530	3321	777	313	3981	144	1785	2455	1008	520	426	749	41832	8371
('PRON', 'PART')	1497	1671	372	198	2019	119	880	807	548	166	180	453	2129	387
('PUNCT', 'ADP')	938	1311	471	130	2129	86	866	1033	351	401	212	969	15120	1390
('NOUN', 'PART')	997	1052	327	104	1532	88	693	727	467	184	169	301	14173	1079
('ADJ', 'ADV')	330	856	221	118	886	46	341	627	411	132	110	269	4302	301
('PUNCT', 'ADJ')	431	1140	316	114	1633	83	560	651	320	182	118	517	9792	826
('ADJ', 'DET')	101	351	59	43	355	20	165	210	139	53	43	27	4243	185
('DET', 'VERB')	203	52	127	56	88	17	160	222	98	6	7	54	150	173
('ADV', 'PRON')	1101	1309	615	265	1795	145	843	1242	582	159	150	825	3796	586
('PART', 'ADP')	580	553	144	72	797	46	254	460	317	68	60	141	2725	250
('ADP', 'VERB')	199	501	501	228	528	26	138	1409	588	68	42	121	790	344
('PART', 'ADV')	711	926	162	89	997	89	548	598	395	144	140	510	4944	266
('AUX', 'VERB')	578	558	444	50	619	21	372	271	320	90	69	165	2143	2984
('PRON', 'NOUN')	1093	656	234	92	896	70	658	879	319	97	69	199	18450	499
('PRON', 'PROPN')	193	200	50	24	241	8	164	164	87	21	17	93	3128	164
('ADP', 'ADP')	248	445	190	108	731	26	189	786	368	61	29	136	2559	528
('AUX', 'ADV')	1850	3360	848	412	3896	251	1292	2247	1173	377	388	1557	19761	1782
('VERB', 'PROPN')	672	1387	246	146	1527	83	895	697	483	76	77	300	11233	762
('CCONJ', 'PUNCT')	51	113	79	25	307	5	56	139	36	85	29	203	1365	82
('ADJ', 'AUX')	772	971	355	178	1060	46	437	699	471	232	145	308	8415	630
('PART', 'ADJ')	348	704	156	86	811	37	279	494	288	96	106	106	3589	350
('CCONJ', 'AUX')	493	761	59	40	1488	36	312	211	105	72	59	183	2147	209
('AUX', 'PART')	350	322	68	21	274	19	220	229	107	47	43	126	1627	207
('AUX', 'NOUN')	322	325	98	39	392	21	266	399	123	76	41	128	4236	396
('ADJ', 'SCONJ')	10	23	67	22	12	2	25	222	152	1	4	8	55	366
('SCONJ', 'VERB')	24	7	18	6	9	6	18	49	12	2	2	11	70	147
('VERB', 'VERB')	1431	1107	473	171	1244	127	818	1218	603	165	138	373	2122	1038
('CCONJ', 'SCONJ')	333	910	144	142	2319	83	370	311	169	59	64	182	480	108
('ADV', 'NUM')	82	229	61	23	173	2	107	202	90	68	29	118	11293	385
('NUM', 'NOUN')	552	798	234	87	677	88	720	878	458	256	116	669	46135	2409
('NOUN', 'PRON')	670	752	223	116	922	52	651	865	331	85	85	247	5460	930
('ADP', 'ADJ')	968	975	271	83	1426	68	669	1010	431	262	120	321	26140	1562
('ADP', 'ADV')	311	585	205	92	1030	43	345	573	226	121	134	253	7347	287
('ADJ', 'PRON')	61	227	74	33	155	11	89	217	124	23	27	52	677	116
('SCONJ', 'ADV')	192	263	181	83	274	24	129	385	200	49	16	99	1885	373
('ADJ', 'PART')	83	296	89	47	282	18	85	284	190	53	44	61	2301	232
('PRON', 'CCONJ')	539	436	83	37	737	26	374	261	115	57	56	187	1031	34
('AUX', 'ADP')	766	812	262	106	1245	55	549	755	334	186	108	344	13729	1087
('CCONJ', 'ADP')	786	1149	313	72	2012	52	526	622	353	210	98	419	5467	443
('ADP', 'AUX')	31	70	122	55	100	3	23	156	113	9	4	12	523	102
('ADP', 'PART')	108	150	133	48	209	27	41	392	267	6	13	27	216	395
('PART', 'PART')	63	90	14	6	86	3	27	41	27	6	10	16	380	53
('CCONJ', 'INTJ')	9	12	41	7	27	3	7	82	35	1	2	19	0	0
('INTJ', 'VERB')	22	24	19	4	27	4	23	22	14	2	1	18	0	0
('PROPN', 'ADV')	265	638	137	72	889	25	367	385	262	50	53	262	10387	499
('DET', 'NUM')	94	169	39	6	154	38	226	95	100	55	15	216	2361	421
('ADP', 'NUM')	156	326	107	47	266	19	150	563	214	118	62	159	24059	2350
('NUM', 'VERB')	5	102	9	3	49	3	65	71	52	52	14	12	3396	519
('SCONJ', 'PROPN')	273	307	59	59	304	5	213	187	154	19	18	95	2502	397
('NUM', 'ADJ')	52	141	23	6	96	7	54	75	46	44	19	56	3330	274
('CCONJ', 'PROPN')	362	643	177	65	1061	19	515	497	194	140	75	228	10640	1028
('ADV', 'PROPN')	108	145	82	25	260	6	75	123	72	12	19	53	3579	240
('PROPN', 'AUX')	305	649	112	69	838	15	282	513	294	83	65	208	15955	1444
('ADJ', 'PROPN')	49	196	58	17	356	3	50	194	66	27	16	32	4908	600
('PART', 'DET')	147	148	14	2	201	7	94	49	36	13	21	62	918	40
('PUNCT', 'NUM')	45	207	41	7	83	7	447	134	31	41	36	124	2991	971
